rule_id,group,portability,current_module,current_prediction_effect,proposed_owner,prompt_instruction_status,deterministic_adapter_status,ablation_switch,target_failure_rows,claim_language_constraint,notes
adapter.selected_evidence_monthly_diary,diary_log_aggregation,gan2026_specific,selected_evidence.selected_evidence_monthly_diary,Aggregates selected month-log evidence into a total-window label.,research_comparison,Use only as a targeted instruction or operand-trace test.,Keep as side-car; do not silently replace primary LLM labels.,selected-evidence-arithmetic component ablation,monthly diary/log rows from replacement ablation and claim-table failures,Treat gains as dataset-pattern or side-car gains until cross-template evidence exists.,High validation utility but likely local-template sensitive.
diary.date_list,diary_log_aggregation,seizure_frequency,deterministic.rules.diary,Diary list of MM-DD seizure-event dates.,hybrid_side_car,Ask model for exact diary evidence and operands before aggregation.,Use deterministic aggregation as named side-car or ablation condition.,AblationConfig enabled_groups=diary_log_aggregation; disabled_rule_ids=diary.date_list,monthly diary/log aggregation and sparse date-list failures,Aggregation gains are side-car or research-only unless raw model owns totals.,Diary arithmetic side-car when evidence selection is already fixed.
diary.increasing_monthly_count,diary_log_aggregation,seizure_frequency,deterministic.rules.diary,Month-by-month trend log with one candidate per month entry.,hybrid_side_car,Ask model for exact diary evidence and operands before aggregation.,Use deterministic aggregation as named side-car or ablation condition.,AblationConfig enabled_groups=diary_log_aggregation; disabled_rule_ids=diary.increasing_monthly_count,monthly diary/log aggregation and sparse date-list failures,Aggregation gains are side-car or research-only unless raw model owns totals.,Diary arithmetic side-car when evidence selection is already fixed.
diary.monthly_count_log,diary_log_aggregation,seizure_frequency,deterministic.rules.diary,Abbreviated month x-count seizure log.,hybrid_side_car,Ask model for exact diary evidence and operands before aggregation.,Use deterministic aggregation as named side-car or ablation condition.,AblationConfig enabled_groups=diary_log_aggregation; disabled_rule_ids=diary.monthly_count_log,monthly diary/log aggregation and sparse date-list failures,Aggregation gains are side-car or research-only unless raw model owns totals.,Diary arithmetic side-car when evidence selection is already fixed.
diary.monthly_summary.as_of_this_month,diary_log_aggregation,seizure_frequency,deterministic.rules.diary,As-of-this-month diary summary with prior month counts.,research_comparison,Ask model for exact diary evidence and operands before aggregation.,Use deterministic aggregation as named side-car or ablation condition.,AblationConfig enabled_groups=diary_log_aggregation; disabled_rule_ids=diary.monthly_summary.as_of_this_month,monthly diary/log aggregation and sparse date-list failures,Aggregation gains are side-car or research-only unless raw model owns totals.,Synthetic monthly-summary template; keep as research-only until generalized.
diary.monthly_summary.event_occurred_timeline,diary_log_aggregation,seizure_frequency,deterministic.rules.diary,Sparse month timeline beginning with an event-occurred sentence.,research_comparison,Ask model for exact diary evidence and operands before aggregation.,Use deterministic aggregation as named side-car or ablation condition.,AblationConfig enabled_groups=diary_log_aggregation; disabled_rule_ids=diary.monthly_summary.event_occurred_timeline,monthly diary/log aggregation and sparse date-list failures,Aggregation gains are side-car or research-only unless raw model owns totals.,Synthetic monthly-summary template; keep as research-only until generalized.
diary.monthly_summary.experienced_or_had,diary_log_aggregation,seizure_frequency,deterministic.rules.diary,Recent monthly diary count summary with experienced/had lead-in.,research_comparison,Ask model for exact diary evidence and operands before aggregation.,Use deterministic aggregation as named side-car or ablation condition.,AblationConfig enabled_groups=diary_log_aggregation; disabled_rule_ids=diary.monthly_summary.experienced_or_had,monthly diary/log aggregation and sparse date-list failures,Aggregation gains are side-car or research-only unless raw model owns totals.,Synthetic monthly-summary template; keep as research-only until generalized.
diary.monthly_summary.had_both_from,diary_log_aggregation,seizure_frequency,deterministic.rules.diary,Month-count list with had lead-in and both-from state summary.,research_comparison,Ask model for exact diary evidence and operands before aggregation.,Use deterministic aggregation as named side-car or ablation condition.,AblationConfig enabled_groups=diary_log_aggregation; disabled_rule_ids=diary.monthly_summary.had_both_from,monthly diary/log aggregation and sparse date-list failures,Aggregation gains are side-car or research-only unless raw model owns totals.,Synthetic monthly-summary template; keep as research-only until generalized.
diary.monthly_summary.in_cluster_another,diary_log_aggregation,seizure_frequency,deterministic.rules.diary,Sparse month list with in-a-cluster wording and another event.,research_comparison,Ask model for exact diary evidence and operands before aggregation.,Use deterministic aggregation as named side-car or ablation condition.,AblationConfig enabled_groups=diary_log_aggregation; disabled_rule_ids=diary.monthly_summary.in_cluster_another,monthly diary/log aggregation and sparse date-list failures,Aggregation gains are side-car or research-only unless raw model owns totals.,Synthetic monthly-summary template; keep as research-only until generalized.
diary.monthly_summary.in_month_another,diary_log_aggregation,seizure_frequency,deterministic.rules.diary,Sparse month list ending with another event.,research_comparison,Ask model for exact diary evidence and operands before aggregation.,Use deterministic aggregation as named side-car or ablation condition.,AblationConfig enabled_groups=diary_log_aggregation; disabled_rule_ids=diary.monthly_summary.in_month_another,monthly diary/log aggregation and sparse date-list failures,Aggregation gains are side-car or research-only unless raw model owns totals.,Synthetic monthly-summary template; keep as research-only until generalized.
diary.monthly_summary.noted_all_from,diary_log_aggregation,seizure_frequency,deterministic.rules.diary,Noted month-count list with all-from state summary.,research_comparison,Ask model for exact diary evidence and operands before aggregation.,Use deterministic aggregation as named side-car or ablation condition.,AblationConfig enabled_groups=diary_log_aggregation; disabled_rule_ids=diary.monthly_summary.noted_all_from,monthly diary/log aggregation and sparse date-list failures,Aggregation gains are side-car or research-only unless raw model owns totals.,Synthetic monthly-summary template; keep as research-only until generalized.
diary.monthly_summary.parenthetical_sparse_list,diary_log_aggregation,seizure_frequency,deterministic.rules.diary,Sparse month list with parenthetical cluster detail.,research_comparison,Ask model for exact diary evidence and operands before aggregation.,Use deterministic aggregation as named side-car or ablation condition.,AblationConfig enabled_groups=diary_log_aggregation; disabled_rule_ids=diary.monthly_summary.parenthetical_sparse_list,monthly diary/log aggregation and sparse date-list failures,Aggregation gains are side-car or research-only unless raw model owns totals.,Synthetic monthly-summary template; keep as research-only until generalized.
diary.monthly_summary.recent_reported,diary_log_aggregation,seizure_frequency,deterministic.rules.diary,Recent monthly diary count summary with reported events.,research_comparison,Ask model for exact diary evidence and operands before aggregation.,Use deterministic aggregation as named side-car or ablation condition.,AblationConfig enabled_groups=diary_log_aggregation; disabled_rule_ids=diary.monthly_summary.recent_reported,monthly diary/log aggregation and sparse date-list failures,Aggregation gains are side-car or research-only unless raw model owns totals.,Synthetic monthly-summary template; keep as research-only until generalized.
diary.monthly_summary.reported_list,diary_log_aggregation,seizure_frequency,deterministic.rules.diary,Reported or recorded month-count list.,research_comparison,Ask model for exact diary evidence and operands before aggregation.,Use deterministic aggregation as named side-car or ablation condition.,AblationConfig enabled_groups=diary_log_aggregation; disabled_rule_ids=diary.monthly_summary.reported_list,monthly diary/log aggregation and sparse date-list failures,Aggregation gains are side-car or research-only unless raw model owns totals.,Synthetic monthly-summary template; keep as research-only until generalized.
diary.monthly_summary.sparse_cluster_event_list,diary_log_aggregation,seizure_frequency,deterministic.rules.diary,Sparse month list with a cluster/run and later single events.,research_comparison,Ask model for exact diary evidence and operands before aggregation.,Use deterministic aggregation as named side-car or ablation condition.,AblationConfig enabled_groups=diary_log_aggregation; disabled_rule_ids=diary.monthly_summary.sparse_cluster_event_list,monthly diary/log aggregation and sparse date-list failures,Aggregation gains are side-car or research-only unless raw model owns totals.,Synthetic monthly-summary template; keep as research-only until generalized.
diary.monthly_summary.this_month_extended,diary_log_aggregation,seizure_frequency,deterministic.rules.diary,This-month diary summary with earlier month counts.,research_comparison,Ask model for exact diary evidence and operands before aggregation.,Use deterministic aggregation as named side-car or ablation condition.,AblationConfig enabled_groups=diary_log_aggregation; disabled_rule_ids=diary.monthly_summary.this_month_extended,monthly diary/log aggregation and sparse date-list failures,Aggregation gains are side-car or research-only unless raw model owns totals.,Synthetic monthly-summary template; keep as research-only until generalized.
diary.monthly_summary.this_month_so_far,diary_log_aggregation,seizure_frequency,deterministic.rules.diary,This-month-so-far diary count summary.,research_comparison,Ask model for exact diary evidence and operands before aggregation.,Use deterministic aggregation as named side-car or ablation condition.,AblationConfig enabled_groups=diary_log_aggregation; disabled_rule_ids=diary.monthly_summary.this_month_so_far,monthly diary/log aggregation and sparse date-list failures,Aggregation gains are side-car or research-only unless raw model owns totals.,Synthetic monthly-summary template; keep as research-only until generalized.
diary.monthly_summary.two_sentence_month_timeline,diary_log_aggregation,seizure_frequency,deterministic.rules.diary,Two-sentence month timeline with counted seizure events.,research_comparison,Ask model for exact diary evidence and operands before aggregation.,Use deterministic aggregation as named side-car or ablation condition.,AblationConfig enabled_groups=diary_log_aggregation; disabled_rule_ids=diary.monthly_summary.two_sentence_month_timeline,monthly diary/log aggregation and sparse date-list failures,Aggregation gains are side-car or research-only unless raw model owns totals.,Synthetic monthly-summary template; keep as research-only until generalized.
diary.recorded_month_log,diary_log_aggregation,seizure_frequency,deterministic.rules.diary,Recorded full-month comma count log.,hybrid_side_car,Ask model for exact diary evidence and operands before aggregation.,Use deterministic aggregation as named side-car or ablation condition.,AblationConfig enabled_groups=diary_log_aggregation; disabled_rule_ids=diary.recorded_month_log,monthly diary/log aggregation and sparse date-list failures,Aggregation gains are side-car or research-only unless raw model owns totals.,Diary arithmetic side-car when evidence selection is already fixed.
diary.seizure_day_log,diary_log_aggregation,seizure_frequency,deterministic.rules.diary,Annual seizure-day month log.,hybrid_side_car,Ask model for exact diary evidence and operands before aggregation.,Use deterministic aggregation as named side-car or ablation condition.,AblationConfig enabled_groups=diary_log_aggregation; disabled_rule_ids=diary.seizure_day_log,monthly diary/log aggregation and sparse date-list failures,Aggregation gains are side-car or research-only unless raw model owns totals.,Diary arithmetic side-car when evidence selection is already fixed.
diary.seizure_days_fraction,diary_log_aggregation,seizure_frequency,deterministic.rules.diary,Seizure days fraction over 30 days this month.,hybrid_side_car,Ask model for exact diary evidence and operands before aggregation.,Use deterministic aggregation as named side-car or ablation condition.,AblationConfig enabled_groups=diary_log_aggregation; disabled_rule_ids=diary.seizure_days_fraction,monthly diary/log aggregation and sparse date-list failures,Aggregation gains are side-car or research-only unless raw model owns totals.,Diary arithmetic side-car when evidence selection is already fixed.
diary.seizure_days_per_period,diary_log_aggregation,seizure_frequency,deterministic.rules.diary,Diary-style seizure-day count per period.,hybrid_side_car,Ask model for exact diary evidence and operands before aggregation.,Use deterministic aggregation as named side-car or ablation condition.,AblationConfig enabled_groups=diary_log_aggregation; disabled_rule_ids=diary.seizure_days_per_period,monthly diary/log aggregation and sparse date-list failures,Aggregation gains are side-car or research-only unless raw model owns totals.,Diary arithmetic side-car when evidence selection is already fixed.
diary.sleep_awake_direct_month_summary,diary_log_aggregation,seizure_frequency,deterministic.rules.diary,Two-month diary summary with direct in-sleep and awake counts.,hybrid_side_car,Ask model for exact diary evidence and operands before aggregation.,Use deterministic aggregation as named side-car or ablation condition.,AblationConfig enabled_groups=diary_log_aggregation; disabled_rule_ids=diary.sleep_awake_direct_month_summary,monthly diary/log aggregation and sparse date-list failures,Aggregation gains are side-car or research-only unless raw model owns totals.,Diary arithmetic side-car when evidence selection is already fixed.
diary.sleep_awake_month_summary,diary_log_aggregation,seizure_frequency,deterministic.rules.diary,Two-month diary summary split into sleep and awake event counts.,hybrid_side_car,Ask model for exact diary evidence and operands before aggregation.,Use deterministic aggregation as named side-car or ablation condition.,AblationConfig enabled_groups=diary_log_aggregation; disabled_rule_ids=diary.sleep_awake_month_summary,monthly diary/log aggregation and sparse date-list failures,Aggregation gains are side-car or research-only unless raw model owns totals.,Diary arithmetic side-car when evidence selection is already fixed.
diary.sleep_awake_nocturnal_daytime_summary,diary_log_aggregation,seizure_frequency,deterministic.rules.diary,Two-month diary summary split into nocturnal and daytime/awake counts.,hybrid_side_car,Ask model for exact diary evidence and operands before aggregation.,Use deterministic aggregation as named side-car or ablation condition.,AblationConfig enabled_groups=diary_log_aggregation; disabled_rule_ids=diary.sleep_awake_nocturnal_daytime_summary,monthly diary/log aggregation and sparse date-list failures,Aggregation gains are side-car or research-only unless raw model owns totals.,Diary arithmetic side-car when evidence selection is already fixed.
diary.sparse_full_month_log,diary_log_aggregation,seizure_frequency,deterministic.rules.diary,Full-month semicolon sparse count log.,hybrid_side_car,Ask model for exact diary evidence and operands before aggregation.,Use deterministic aggregation as named side-car or ablation condition.,AblationConfig enabled_groups=diary_log_aggregation; disabled_rule_ids=diary.sparse_full_month_log,monthly diary/log aggregation and sparse date-list failures,Aggregation gains are side-car or research-only unless raw model owns totals.,Diary arithmetic side-car when evidence selection is already fixed.
gan_shorthand.abs_adjective_rate,gan_shorthand,gan2026_specific,deterministic.rules.gan_shorthand,Compact absence shorthand with adjective period.,research_comparison,Use only in targeted shorthand smokes if the model is expected to own shorthand.,Keep deterministic shorthand expansion as Gan-specific ablation condition.,AblationConfig enabled_groups=gan_shorthand; disabled_rule_ids=gan_shorthand.abs_adjective_rate,TC/sz/abs compact shorthand and q-interval rows,Gan shorthand gains are dataset-specific until externalized.,Useful for Gan rows but weak portability by design.
gan_shorthand.abs_count_rate,gan_shorthand,gan2026_specific,deterministic.rules.gan_shorthand,Compact absence shorthand count plus adjective period.,research_comparison,Use only in targeted shorthand smokes if the model is expected to own shorthand.,Keep deterministic shorthand expansion as Gan-specific ablation condition.,AblationConfig enabled_groups=gan_shorthand; disabled_rule_ids=gan_shorthand.abs_count_rate,TC/sz/abs compact shorthand and q-interval rows,Gan shorthand gains are dataset-specific until externalized.,Useful for Gan rows but weak portability by design.
gan_shorthand.q_interval,gan_shorthand,gan2026_specific,deterministic.rules.gan_shorthand,Compact q-interval shorthand such as q2-3wk or qone to twod.,research_comparison,Use only in targeted shorthand smokes if the model is expected to own shorthand.,Keep deterministic shorthand expansion as Gan-specific ablation condition.,AblationConfig enabled_groups=gan_shorthand; disabled_rule_ids=gan_shorthand.q_interval,TC/sz/abs compact shorthand and q-interval rows,Gan shorthand gains are dataset-specific until externalized.,Useful for Gan rows but weak portability by design.
gan_shorthand.tc_sz_count_rate,gan_shorthand,gan2026_specific,deterministic.rules.gan_shorthand,Compact tonic-clonic or seizure shorthand count per abbreviated period.,research_comparison,Use only in targeted shorthand smokes if the model is expected to own shorthand.,Keep deterministic shorthand expansion as Gan-specific ablation condition.,AblationConfig enabled_groups=gan_shorthand; disabled_rule_ids=gan_shorthand.tc_sz_count_rate,TC/sz/abs compact shorthand and q-interval rows,Gan shorthand gains are dataset-specific until externalized.,Useful for Gan rows but weak portability by design.
gold_normalization_policy.bimonthly,gold_normalization_policy,gan2026_specific,contract.gold_policy,Map bare bimonthly/bi-monthly to Gan's every-two-month convention.,deterministic_extraction_or_adapter,Do not prompt-train arbitrary Gan conventions by default.,Apply stable Gan conventions automatically once the model selects the relevant evidence.,gold policy rule_id gold_normalization_policy.bimonthly,"bimonthly, vague weekday cadence, cluster-name stripping, single total windows","Gold-policy conversion is benchmark convention, not model clinical reasoning.","Keep documented, ablatable, and separated from clinical selection."
gold_normalization_policy.cluster_name_stripping,gold_normalization_policy,gan2026_specific,contract.gold_policy,Drop cluster wording for scorer-facing cadence labels when no within-cluster event count is available.,deterministic_extraction_or_adapter,Do not prompt-train arbitrary Gan conventions by default.,Apply stable Gan conventions automatically once the model selects the relevant evidence.,gold policy rule_id gold_normalization_policy.cluster_name_stripping,"bimonthly, vague weekday cadence, cluster-name stripping, single total windows","Gold-policy conversion is benchmark convention, not model clinical reasoning.","Keep documented, ablatable, and separated from clinical selection."
gold_normalization_policy.cluster_syntax_grammar,gold_normalization_policy,gan2026_specific,contract.gold_policy,Normalize source-near cluster primitives into Gan cluster syntax when cadence and per-cluster load are already present.,deterministic_extraction_or_adapter,Do not prompt-train arbitrary Gan conventions by default.,Apply stable Gan conventions automatically once the model selects the relevant evidence.,gold policy rule_id gold_normalization_policy.cluster_syntax_grammar,"bimonthly, vague weekday cadence, cluster-name stripping, single total windows","Gold-policy conversion is benchmark convention, not model clinical reasoning.","Keep documented, ablatable, and separated from clinical selection."
gold_normalization_policy.period_dialect_and_shorthand,gold_normalization_policy,gan2026_specific,contract.gold_policy,Expand period dialects and terse seizure-frequency shorthand when count and period are preserved.,deterministic_extraction_or_adapter,Do not prompt-train arbitrary Gan conventions by default.,Apply stable Gan conventions automatically once the model selects the relevant evidence.,gold policy rule_id gold_normalization_policy.period_dialect_and_shorthand,"bimonthly, vague weekday cadence, cluster-name stripping, single total windows","Gold-policy conversion is benchmark convention, not model clinical reasoning.","Keep documented, ablatable, and separated from clinical selection."
gold_normalization_policy.single_total_window,gold_normalization_policy,gan2026_specific,contract.gold_policy,Rephrase one selected total count and explicit window into Gan syntax.,deterministic_extraction_or_adapter,Do not prompt-train arbitrary Gan conventions by default.,Apply stable Gan conventions automatically once the model selects the relevant evidence.,gold policy rule_id gold_normalization_policy.single_total_window,"bimonthly, vague weekday cadence, cluster-name stripping, single total windows","Gold-policy conversion is benchmark convention, not model clinical reasoning.","Keep documented, ablatable, and separated from clinical selection."
gold_normalization_policy.vague_quantity_explicit_denominator,gold_normalization_policy,gan2026_specific,contract.gold_policy,Map vague count words to Gan coarse labels only when the denominator is explicit.,deterministic_extraction_or_adapter,Do not prompt-train arbitrary Gan conventions by default.,Apply stable Gan conventions automatically once the model selects the relevant evidence.,gold policy rule_id gold_normalization_policy.vague_quantity_explicit_denominator,"bimonthly, vague weekday cadence, cluster-name stripping, single total windows","Gold-policy conversion is benchmark convention, not model clinical reasoning.","Keep documented, ablatable, and separated from clinical selection."
gold_normalization_policy.vague_weekday_cadence,gold_normalization_policy,gan2026_specific,contract.gold_policy,Map vague multi-weekday cadence to Gan's coarse multiple-per-week label.,deterministic_extraction_or_adapter,Do not prompt-train arbitrary Gan conventions by default.,Apply stable Gan conventions automatically once the model selects the relevant evidence.,gold policy rule_id gold_normalization_policy.vague_weekday_cadence,"bimonthly, vague weekday cadence, cluster-name stripping, single total windows","Gold-policy conversion is benchmark convention, not model clinical reasoning.","Keep documented, ablatable, and separated from clinical selection."
adapter.label_parser,label_parser,benchmark_format,contract.label_parser,Parses scorer-facing labels into semantic kind and rates.,deterministic_extraction_or_adapter,Do not prompt-train parser grammar except in explicit LLM-owned-rendering smokes.,Keep as scorer contract and format validator.,repair_mode/raw vs strict parser layers,parser-incompatible raw labels across LLM-heavy and typed-adapter smokes,"Parser success is format compatibility, not clinical reasoning.",Stable benchmark contract; changing it is a scoring/data-contract change.
rate.count_during_recent_window,portable_rate_expressions,seizure_frequency,deterministic.rules.rate,Counted seizure phrase during or in a recent multi-unit window.,deterministic_extraction_or_adapter,Teach as a source-reading principle in LLM-owned extraction prompts.,Keep deterministic extraction for rules-only and as format/arithmetic adapter.,AblationConfig enabled_groups=portable_rate_expressions; disabled_rule_ids=rate.count_during_recent_window,"direct rates, intervals, compact intervals, vague quantities",Deterministic rate replacement makes the scored layer hybrid or adapter-owned.,Portable seizure-frequency expression; high value as comparator.
rate.counted_adverbial,portable_rate_expressions,seizure_frequency,deterministic.rules.rate,Counted event phrase followed by daily/weekly/monthly/yearly.,deterministic_extraction_or_adapter,Teach as a source-reading principle in LLM-owned extraction prompts.,Keep deterministic extraction for rules-only and as format/arithmetic adapter.,AblationConfig enabled_groups=portable_rate_expressions; disabled_rule_ids=rate.counted_adverbial,"direct rates, intervals, compact intervals, vague quantities",Deterministic rate replacement makes the scored layer hybrid or adapter-owned.,Portable seizure-frequency expression; high value as comparator.
rate.daily_basis_current,portable_rate_expressions,seizure_frequency,deterministic.rules.rate,Current seizure events described as occurring on a daily basis.,deterministic_extraction_or_adapter,Teach as a source-reading principle in LLM-owned extraction prompts.,Keep deterministic extraction for rules-only and as format/arithmetic adapter.,AblationConfig enabled_groups=portable_rate_expressions; disabled_rule_ids=rate.daily_basis_current,"direct rates, intervals, compact intervals, vague quantities",Deterministic rate replacement makes the scored layer hybrid or adapter-owned.,Portable seizure-frequency expression; high value as comparator.
rate.days_of_week,portable_rate_expressions,seizure_frequency,deterministic.rules.rate,Current seizure events counted by days of the week.,deterministic_extraction_or_adapter,Teach as a source-reading principle in LLM-owned extraction prompts.,Keep deterministic extraction for rules-only and as format/arithmetic adapter.,AblationConfig enabled_groups=portable_rate_expressions; disabled_rule_ids=rate.days_of_week,"direct rates, intervals, compact intervals, vague quantities",Deterministic rate replacement makes the scored layer hybrid or adapter-owned.,Portable seizure-frequency expression; high value as comparator.
rate.descriptor_count_per_period,portable_rate_expressions,seizure_frequency,deterministic.rules.rate,Descriptor-led seizure rate such as reports five focal seizures per week.,deterministic_extraction_or_adapter,Teach as a source-reading principle in LLM-owned extraction prompts.,Keep deterministic extraction for rules-only and as format/arithmetic adapter.,AblationConfig enabled_groups=portable_rate_expressions; disabled_rule_ids=rate.descriptor_count_per_period,"direct rates, intervals, compact intervals, vague quantities",Deterministic rate replacement makes the scored layer hybrid or adapter-owned.,Portable seizure-frequency expression; high value as comparator.
rate.direct_count_per_period,portable_rate_expressions,seizure_frequency,deterministic.rules.rate,Generic direct count per period with medication-dose exclusions.,deterministic_extraction_or_adapter,Teach as a source-reading principle in LLM-owned extraction prompts.,Keep deterministic extraction for rules-only and as format/arithmetic adapter.,AblationConfig enabled_groups=portable_rate_expressions; disabled_rule_ids=rate.direct_count_per_period,"direct rates, intervals, compact intervals, vague quantities",Deterministic rate replacement makes the scored layer hybrid or adapter-owned.,Portable seizure-frequency expression; high value as comparator.
rate.implicit_every_n_interval,portable_rate_expressions,seizure_frequency,deterministic.rules.rate,Seizure noun followed by every-N interval.,deterministic_extraction_or_adapter,Teach as a source-reading principle in LLM-owned extraction prompts.,Keep deterministic extraction for rules-only and as format/arithmetic adapter.,AblationConfig enabled_groups=portable_rate_expressions; disabled_rule_ids=rate.implicit_every_n_interval,"direct rates, intervals, compact intervals, vague quantities",Deterministic rate replacement makes the scored layer hybrid or adapter-owned.,Portable seizure-frequency expression; high value as comparator.
rate.implicit_every_night_interval,portable_rate_expressions,seizure_frequency,deterministic.rules.rate,Seizure noun or descriptor followed by every night.,deterministic_extraction_or_adapter,Teach as a source-reading principle in LLM-owned extraction prompts.,Keep deterministic extraction for rules-only and as format/arithmetic adapter.,AblationConfig enabled_groups=portable_rate_expressions; disabled_rule_ids=rate.implicit_every_night_interval,"direct rates, intervals, compact intervals, vague quantities",Deterministic rate replacement makes the scored layer hybrid or adapter-owned.,Portable seizure-frequency expression; high value as comparator.
rate.implicit_every_other_interval,portable_rate_expressions,seizure_frequency,deterministic.rules.rate,Seizure noun followed by every-other interval.,deterministic_extraction_or_adapter,Teach as a source-reading principle in LLM-owned extraction prompts.,Keep deterministic extraction for rules-only and as format/arithmetic adapter.,AblationConfig enabled_groups=portable_rate_expressions; disabled_rule_ids=rate.implicit_every_other_interval,"direct rates, intervals, compact intervals, vague quantities",Deterministic rate replacement makes the scored layer hybrid or adapter-owned.,Portable seizure-frequency expression; high value as comparator.
rate.nights_per_period,portable_rate_expressions,seizure_frequency,deterministic.rules.rate,"Current seizure events counted by nights per week, month, or year.",deterministic_extraction_or_adapter,Teach as a source-reading principle in LLM-owned extraction prompts.,Keep deterministic extraction for rules-only and as format/arithmetic adapter.,AblationConfig enabled_groups=portable_rate_expressions; disabled_rule_ids=rate.nights_per_period,"direct rates, intervals, compact intervals, vague quantities",Deterministic rate replacement makes the scored layer hybrid or adapter-owned.,Portable seizure-frequency expression; high value as comparator.
rate.no_more_than_adverbial,portable_rate_expressions,seizure_frequency,deterministic.rules.rate,Upper-bound adverbial rates such as no more than twice weekly.,deterministic_extraction_or_adapter,Teach as a source-reading principle in LLM-owned extraction prompts.,Keep deterministic extraction for rules-only and as format/arithmetic adapter.,AblationConfig enabled_groups=portable_rate_expressions; disabled_rule_ids=rate.no_more_than_adverbial,"direct rates, intervals, compact intervals, vague quantities",Deterministic rate replacement makes the scored layer hybrid or adapter-owned.,Portable seizure-frequency expression; high value as comparator.
rate.occurring_adjective,portable_rate_expressions,seizure_frequency,deterministic.rules.rate,Occurring verbs modified by daily/weekly/monthly/yearly.,deterministic_extraction_or_adapter,Teach as a source-reading principle in LLM-owned extraction prompts.,Keep deterministic extraction for rules-only and as format/arithmetic adapter.,AblationConfig enabled_groups=portable_rate_expressions; disabled_rule_ids=rate.occurring_adjective,"direct rates, intervals, compact intervals, vague quantities",Deterministic rate replacement makes the scored layer hybrid or adapter-owned.,Portable seizure-frequency expression; high value as comparator.
rate.occurring_every_n_interval,portable_rate_expressions,seizure_frequency,deterministic.rules.rate,Occurring/cluster verbs followed by every-N interval.,deterministic_extraction_or_adapter,Teach as a source-reading principle in LLM-owned extraction prompts.,Keep deterministic extraction for rules-only and as format/arithmetic adapter.,AblationConfig enabled_groups=portable_rate_expressions; disabled_rule_ids=rate.occurring_every_n_interval,"direct rates, intervals, compact intervals, vague quantities",Deterministic rate replacement makes the scored layer hybrid or adapter-owned.,Portable seizure-frequency expression; high value as comparator.
rate.occurring_every_other_interval,portable_rate_expressions,seizure_frequency,deterministic.rules.rate,Occurring verbs followed by every-other interval.,deterministic_extraction_or_adapter,Teach as a source-reading principle in LLM-owned extraction prompts.,Keep deterministic extraction for rules-only and as format/arithmetic adapter.,AblationConfig enabled_groups=portable_rate_expressions; disabled_rule_ids=rate.occurring_every_other_interval,"direct rates, intervals, compact intervals, vague quantities",Deterministic rate replacement makes the scored layer hybrid or adapter-owned.,Portable seizure-frequency expression; high value as comparator.
rate.occurring_once_per_night,portable_rate_expressions,seizure_frequency,deterministic.rules.rate,Seizure phrase followed by occurring once per night.,deterministic_extraction_or_adapter,Teach as a source-reading principle in LLM-owned extraction prompts.,Keep deterministic extraction for rules-only and as format/arithmetic adapter.,AblationConfig enabled_groups=portable_rate_expressions; disabled_rule_ids=rate.occurring_once_per_night,"direct rates, intervals, compact intervals, vague quantities",Deterministic rate replacement makes the scored layer hybrid or adapter-owned.,Portable seizure-frequency expression; high value as comparator.
rate.period_first_experienced_count,portable_rate_expressions,seizure_frequency,deterministic.rules.rate,Multi-unit period-first count with count later in the span.,deterministic_extraction_or_adapter,Teach as a source-reading principle in LLM-owned extraction prompts.,Keep deterministic extraction for rules-only and as format/arithmetic adapter.,AblationConfig enabled_groups=portable_rate_expressions; disabled_rule_ids=rate.period_first_experienced_count,"direct rates, intervals, compact intervals, vague quantities",Deterministic rate replacement makes the scored layer hybrid or adapter-owned.,Portable seizure-frequency expression; high value as comparator.
rate.period_first_featuring_count,portable_rate_expressions,seizure_frequency,deterministic.rules.rate,Period-first count with featuring-awareness wording.,deterministic_extraction_or_adapter,Teach as a source-reading principle in LLM-owned extraction prompts.,Keep deterministic extraction for rules-only and as format/arithmetic adapter.,AblationConfig enabled_groups=portable_rate_expressions; disabled_rule_ids=rate.period_first_featuring_count,"direct rates, intervals, compact intervals, vague quantities",Deterministic rate replacement makes the scored layer hybrid or adapter-owned.,Portable seizure-frequency expression; high value as comparator.
rate.period_first_occurred_count,portable_rate_expressions,seizure_frequency,deterministic.rules.rate,Period-first count with have occurred wording.,deterministic_extraction_or_adapter,Teach as a source-reading principle in LLM-owned extraction prompts.,Keep deterministic extraction for rules-only and as format/arithmetic adapter.,AblationConfig enabled_groups=portable_rate_expressions; disabled_rule_ids=rate.period_first_occurred_count,"direct rates, intervals, compact intervals, vague quantities",Deterministic rate replacement makes the scored layer hybrid or adapter-owned.,Portable seizure-frequency expression; high value as comparator.
rate.period_first_recent_count,portable_rate_expressions,seizure_frequency,deterministic.rules.rate,Single-unit period-first count such as This week ... three seizures.,deterministic_extraction_or_adapter,Teach as a source-reading principle in LLM-owned extraction prompts.,Keep deterministic extraction for rules-only and as format/arithmetic adapter.,AblationConfig enabled_groups=portable_rate_expressions; disabled_rule_ids=rate.period_first_recent_count,"direct rates, intervals, compact intervals, vague quantities",Deterministic rate replacement makes the scored layer hybrid or adapter-owned.,Portable seizure-frequency expression; high value as comparator.
